Year,2026,,,,,
Cohort,3,,,,,
Team No,18,,,,,
Team Name,,,,,,
Project Name,,,,,,
Team Members,,,,,,
Email IDs,,,,,,
Team Mentor,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes,,,,,,
* Download this template(File>Download>xlsx) and fill the sheet in the below given format. Share the editable link in the Airtable form,,,,,,
* Explain your project in brief,,,,,,
* This sheet will be considered as Bill of material for your project. So mention every item required for the project even if you already have few of the components ,,,,,,
"* For all the components that you are ordering online provide the reference link of the online store from where you are planning to place the order. 
Prefer ordering the components from stores like robu, hubtronics, roboticsdna etc. A more comprehensive VENDOR LIST is at : MAKERVILLE",,,,,,
* For the components that you are planning to purchase from your local store provide the reference link of image or video,,,,,,
"* DO NOT RELY ON GETTING ANYTHING FROM THE LOCAL STORE HERE IN GOA. YOU WON'T HAVE THE TIME, MEANS OR AVAILABILITY TO GET THE COMPONENTS FROM THE LOCAL STORE",,,,,,
,,,,,,
Project Brief:,We intend to make a small iPod sized device with a camera and an air quality sensor as well as a display with a iPod circular swivel navigation. You would take a picture of an area and the quality sensor would tell you Wha gasses are in the location. The goal is to collect as many different gasses as possible. If anything dangerous is recorded it will be informed to the authorities and a gps tracker which is buoy in would help in the process .,,,,,
,,,,,,
Sr no,Product name,Qty,Type,Purpose,Reference link,Additional details
1,UV Detector,1,,To sense the UV rays,https://techtonics.in/product/dc3-3v-5v-uv-detection-sensor-module-ultraviolet-ray-module-for-arduino/?srsltid=AfmBOoq8WYce9OFOzBfPSiSKWGAxwTOgmbnaf_QWw2AtdYpq9k6-PS-h,
2,Microcontroller,1,module w digital output (ESP 32) XIAO control board,To connect everything and calculate the Output,,
3,LED,1,RGB,To display the output,,
4,BMS,1,"18650 power bank
",To power the system,,
5,TPU Band,1,3D printed,To hold everything in a wearable form,,
6,TPU Covers,1,3D printed,To cover everything up,,